id	content	answerA	answerB	answerC	answerD	Correct	tags	difficulty	type	version
2463	What is not a subregion of Marlborough?	Bendigo	Wairau Valley	Southern Valleys	Awatere Valley	Bendigo	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough"	4	Multiple	11
2464	What part of Marlborough is the largest?	Wairau Valley	Southern Valleys	Awatere Valley	Wairarapa	Wairau Valley	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough"	4	Multiple	11
2465	What is the coolest part of Marlborough?	Awatere Valley	Southern Valleys	Wairau Valley	Gladstone	Awatere Valley	"wine, Location, Oceania, New Zealand, South Island New Zealand, Marlborough"	4	Multiple	11
2466	Waitaki Valley is part of…	Canterbury	Marlborough	Martinborough	Hawke’s Bay	Canterbury	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2467	What is the climate in Canterbury?	Cool maritime	Cool continental	Moderate mediterranean	Moderate continental	Cool maritime	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2468	Where is Canterbury region located?	New Zealand	Australia	Canada	USA	New Zealand	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	3	Multiple	11
2469	What is the most popular grape in Canterbury?	Pinot Noir	Riesling	Pinot Gris	Sauvignon Blanc	Pinot Noir	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	3	Multiple	11
2470	What is the latitude of the Canterbury region?	43° S 	41° S 	40° S 	45° S 	43° S 	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2471	What protects the Canterbury region from a rough weather?	Southern Alps	Tongariro Ranges	Waitakere Ranges	Kaimai Range	Southern Alps	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2472	What is the important research facility in the Canterbury region?	Lincoln University	Massey University	University of Waikato	Victoria University 	Lincoln University	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2473	Where does Bell Hill produce its famous Pinot Noir?	Canterbury	Central Otago	Martinborough	Marlborough	Canterbury	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury, somm"	4	Multiple	11
2474	Where does Pyramid Valley produce its wines?	Canterbury	Central Otago	Hawke’s Bay	Nelson	Canterbury	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury, somm"	4	Multiple	11
2475	What is the dominant grape variety in the Waipara Valley?	Pinot Noir	Cabernet Sauvignon	Sauvignon Blanc	Syrah	Pinot Noir	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2476	Where is Waipara Valley located?	Canterbury	Central Otago	Hawke’s Bay	Nelson	Canterbury	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	3	Multiple	11
2477	What protects the Waipara Valley from the cold ocean winds?	Teviotdale Hills	Kaimai Range	Walter Peak	Te Mata Peak	Teviotdale Hills	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2478	Waikari Hills is part of…	Canterbury	Martinborough	Nelson	Central Otago	Canterbury	"wine, Location, Oceania, New Zealand, South Island New Zealand, Canterbury"	4	Multiple	11
2479	What is the dominant grape grown in Central Otago?	Pinot Noir	Sauvignon Blanc	Albariño	Chardonnay	Pinot Noir	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	2	Multiple	11
2480	What is the name of famous Pinot Noir producing region in New Zealand?	Central Otago	Auckland	Gisborne	Hawke’s Bay	Central Otago	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	2	Multiple	11
2481	What is the latitude of Central Otago?	45° S 	48° S 	51° S 	41° S 	45° S 	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	3	Multiple	11
2482	What is not a subregion of Central Otago?	Awatere Valley	Wanaka	Alexandra	Gibbston	Awatere Valley	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2483	Bendigo is part of…	Central Otago	Canterbury	Martinborough	Hawke’s Bay	Central Otago	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2484	What is the coolest part of Central Otago?	Gibbston	Bendigo	Bannockburn 	Wanaka	Gibbston	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2485	What is the soil in Gibbston?	Schist-based	Clay-based	Sand-based	Basalt-based	Schist-based	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2486	What are has New Zealands highest altitude vineyards?	Gibbston	Esk Valley	Waiheke Island	Waikari Hills 	Gibbston	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2487	"What is the dominant grape in Bendigo, New Zealand?"	Pinot Noir	Pinot Gris	Chardonnay	Riesling	Pinot Noir	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2488	Lowburn subregion is part of…	Central Otago	Canterbury	Martinborough	Hawke’s Bay	Central Otago	"wine, Location, Oceania, New Zealand, South Island New Zealand, Central Otago"	4	Multiple	11
2489	Where is the New South Wales area located?	Australia	Scotland	Canada	New Zealand	Australia	"wine, Location, Oceania, Australia, New South Wales"	2	Multiple	11
2490	Where is Tasmania located?	Australia	Greece	South Africa	Argentina	Australia	"wine, Location, Oceania, Australia, New South Wales"	2	Multiple	11
2491	Where is Victoria area located?	Australia	USA	Canada	South Africa	Australia	"wine, Location, Oceania, Australia, New South Wales"	2	Multiple	11
2492	What state produces largest quantities of wine in Australia?	South Australia	Victoria	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia"	3	Multiple	11
2493	How much of Australian wine is produced in Western Australia?	Around 2%	Around 8%	Around 12%	Around 20%	Around 2%	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2494	What is the most planted grape in Australia?	Shiraz	Cabernet Sauvignon	Chardonnay	Riesling	Shiraz	"wine, Location, Oceania, Australia"	2	Multiple	11
2495	What does AWRI stand for?	Australian Wine Research Institute	Australian Wine Rootstock Innovation	Australian Wineries Rewards and Insights	Australian Wine Regional Institute	Australian Wine Research Institute	"wine, Location, Oceania, Australia"	4	Multiple	11
2496	Barossa Valley is part of…	South Australia	Victoria	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2497	Eden Valley is part of…	South Australia	Victoria	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2498	Coonawarra is part of…	South Australia	New South Wales	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2499	Where is McLaren Vale located?	South Australia	Victoria	Western Australia	Queensland	South Australia	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2500	Eden Valley is part of…	South Australia	Northern Territory	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2501	Adelaide Hills region is part of…	South Australia	Victoria	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2502	Langhorne Creek is part of…	South Australia	Victoria	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2503	Riverland is part of…	South Australia	New South Wales	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2504	Where is Fleurieu located?	South Australia	Victoria	Western Australia	Queensland	South Australia	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2505	Where is Padthaway located?	South Australia	Northern Territory	Western Australia	Tasmania	South Australia	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2506	What is the dominant grape in Barossa Valley?	Shiraz	Cabernet Franc	Grenache	Viognier	Shiraz	"wine, Location, Oceania, Australia, South Australia"	2	Multiple	11
2507	What is the latitude of Barossa Valley?	34° S	31° S	35° N	38° N	34° S	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2508	What is the average growing season rainfall in Barossa Valley?	220 mm	420 mm	320 mm	820 mm	220 mm	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2509	What is the climate in Barossa Valley?	Mediterranean	Maritime	Continental	Tropical	Mediterranean	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2510	Quarantine laws are important for…	Barossa Valley	Geelong	Margaret River	Orange	Barossa Valley	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2511	Torbreck produces wines in…	Barossa Valley	Margaret River	Mornington Peninsula 	Coonawarra	Barossa Valley	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2512	Eden Valley is famous for its…	Riesling	Chenin Blanc	Chardonnay	Viognier	Riesling	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2513	What is the total vineyard size in Eden Valley?	"About 1,875 ha / 4,700 acres"	"About 3,000 ha / 7,500 acres"	"About 800 ha / 2,000 acres"	"About 5,000 ha / 12,400 acres"	"About 1,875 ha / 4,700 acres"	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2514	Clare Valley is located…	North of Adelaide	South of Adelaide	East of Adelaide	West of Adelaide	North of Adelaide	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2515	What is the dominant white grape in Clare Valley?	Riesling	Sauvignon Blanc	Chardonnay	Pinot Gris	Riesling	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2516	What is the soil in the Polish Hill area of Clare Valley?	Broken slate	Limestone and clay	Sand and silt	Loam and clay	Broken slate	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2517	What allows for production of high quality Rieslings in Clare Valley?	High diurnal temperature variation 	Drip irrigation	The vines were planted by Germans	Slopes aspects	High diurnal temperature variation 	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2518	Watervale is part of…	Clare Valley	McLaren Vale	Adelaide Hills	Padthaway	Clare Valley	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2519	What is the dominant white grape variety in Adelaide Hills?	Chardonnay	Sauvignon Blanc	Sémillon	Pinot Gris	Chardonnay	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2520	Lenswood is part of…	Adelaide Hills 	Barossa Valley	McLaren Vale	Clare Valley	Adelaide Hills 	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2521	What is the dominant red grape variety in Adelaide Hills?	Pinot Noir	Shiraz	Cabernet Sauvignon	Zweigelt	Pinot Noir	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2522	Piccadilly Valley is part of…	Adelaide Hills 	Coonawarra	McLaren Vale	Eden Valley	Adelaide Hills 	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2523	Coonawarra is famous for its…	Cabernet Sauvignon	Zinfandel	Pinot Noir	Pinotage	Cabernet Sauvignon	"wine, Location, Oceania, Australia, South Australia"	2	Multiple	11
2524	What is the climate in Coonawarra?	Maritime	Mediterranean	Sub-continental	Sub-tropical	Maritime	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2525	What gives the red colour to the soil in Coonawarra?	Iron-oxide	Sulphur	High proportion of organic matter	Nitrogen Dioxide	Iron-oxide	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2526	What is the average annual rainfall in the growing season in Langhorne Creek?	169 mm	230 mm	310 mm	450 mm	169 mm	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2527	What river is often used for flood irrigation in the Langhorne Creek region?	Bremer River	Murray River	Yarra River	Paroo River	Bremer River	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2528	What is the climate in McLaren Vale?	Mediterranean	Maritime	Continental	Pacific	Mediterranean	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2529	What is the most popular grape in McLaren Vale?	Shiraz	Cabernet Sauvignon	Chardonnay	Riesling	Shiraz	"wine, Location, Oceania, Australia, South Australia"	3	Multiple	11
2530	Where does d’Arenberg produce its wines?	McLaren Vale	Clare Valley	Coonawarra	Margaret River	McLaren Vale	"wine, Location, Oceania, Australia, South Australia, somm"	4	Multiple	11
2531	What is the total size of the vineyards in McLaren Vale?	"Around 6,300 ha / 15,000 acres"	"Around 2,000 ha / 5,000 acres"	"Around 12,100 ha / 30,000 acres"	"Around 15,800 ha / 39,000 acres"	"Around 6,300 ha / 15,000 acres"	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2532	What is the largest source of grapes for the generic South Eastern Australia labels?	Riverland	Barossa	McLaren Vale	Langhorne Creek	Riverland	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2533	What river is crucial for the viticulture in the Riverland?	Murray River	Yarra River	Lachlan River	Goulburn River	Murray River	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2534	What is the climate in the Riverland region?	Continental	Maritime	Mediterranean	Tropical	Continental	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2535	Mallee soils can be found in…	Riverland	Barossa	Adelaide Hills	McLaren Vale	Riverland	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2536	What is the average annual rainfall in the growing season in Riverland?	148 mm	113 mm	256 mm	314 mm	148 mm	"wine, Location, Oceania, Australia, South Australia"	4	Multiple	11
2537	What is the most famous region of Western Australia?	Margaret River	Albany	Barossa Valley	Frankland River	Margaret River	"wine, Location, Oceania, Australia, Western Australia"	3	Multiple	11
2538	Karridale is part of…	Margaret River	Frankland River	Ferguson Valley	Swan Valley	Margaret River	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2539	Wallcliffe is part of…	Margaret River	Albany	Perth Hills	Mount Barker	Margaret River	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2540	Wilyabrup is part of…	Margaret River	Swan Valley	Pembelton	Peel	Margaret River	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2541	Yallingup is part of…	Margaret River	Ferguson Valley	Perth Hills	Frankland River	Margaret River	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2542	SSB is a used in Margaret River to depict…	Sémillon and Sauvignon Black blend	The group of original growers in the region	Name of the oldest winery in the region	The type of rootstock that is suited for their soils	Sémillon and Sauvignon Black blend	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2543	Who played the crucial role in establishing Margaret River?	Dr John Gladstones	James Busby	Max Schubert	Jeffrey Grosset	Dr John Gladstones	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2544	What is the average annual rainfall in the growing season in Margaret River?	Around 200 mm	Around 110 mm	Around 160 mm	Around 250 mm	Around 200 mm	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2545	What is the total size of vineyards in Margaret River?	"Around 4,880 ha / 12,100 acres"	"Around 6,650 ha / 16,300 acres"	"Around 8,230 ha / 20,4000 acres"	"Around 10,100 ha / 25,000 acres"	"Around 4,880 ha / 12,100 acres"	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2546	What is the largest winery in Western Australia?	Houghton	Leeuwin	Moss Wood	Vasse Felix	Houghton	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2547	What is the climate in Swan Valley in Western Australia?	Mediterranean	Maritime	Continental	Semi-continental	Mediterranean	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
2548	Great Southern is part of…	Western Australia	New South Wales	Victoria	South Australia	Western Australia	"wine, Location, Oceania, Australia, Western Australia"	4	Multiple	11
